"","date","price"
"710",2020-01-22,1528.3213
"711",2020-01-23,1530.164
"712",2020-01-24,1525.5748
"713",2020-01-25,1525.525
"714",2020-01-26,1525.4753
"715",2020-01-27,1521.856
"716",2020-01-28,1538.7674
"717",2020-01-29,1538.095
"718",2020-01-30,1560.3233
"719",2020-01-31,1535.7597
"720",2020-02-01,1535.7097
"721",2020-02-02,1535.6598
"722",2020-02-03,1533.8475
"723",2020-02-04,1541.4467
"724",2020-02-05,1545.543
"725",2020-02-06,1555.7957
"726",2020-02-07,1564.6682
"727",2020-02-08,1564.6173
"728",2020-02-09,1564.5664
"729",2020-02-10,1588.8235
"730",2020-02-11,1585.3727
"731",2020-02-12,1588.6506
"732",2020-02-13,1599.9681
"733",2020-02-14,1598.4795
"734",2020-02-15,1598.4275
"735",2020-02-16,1598.3756
"736",2020-02-17,1596.8089
"737",2020-02-18,1602.3657
"738",2020-02-19,1612.3028
"739",2020-02-20,1618.2025
"740",2020-02-21,1607.3821
"741",2020-02-22,1607.3299
"742",2020-02-23,1607.2776
"743",2020-02-24,1553.1189
"744",2020-02-25,1505.3199
"745",2020-02-26,1508.5213
"746",2020-02-27,1451.6939
"747",2020-02-28,1448.4683
"748",2020-02-29,1448.4212
"749",2020-03-01,1448.3741
"750",2020-03-02,1511.1936
"751",2020-03-03,1455.7351
"752",2020-03-04,1518.2172
"753",2020-03-05,1489.9923
"754",2020-03-06,1473.9191
"755",2020-03-07,1473.8712
"756",2020-03-08,1473.8233
"757",2020-03-09,1382.7712
"758",2020-03-10,1440.4904
"759",2020-03-11,1375.6499
"760",2020-03-12,1270.5416
"761",2020-03-13,1357.599
"762",2020-03-14,1357.5549
"763",2020-03-15,1357.5107
"764",2020-03-16,1221.414
"765",2020-03-17,1297.5104
"766",2020-03-18,1242.145
"767",2020-03-19,1258.897
"768",2020-03-20,1185.9439
"769",2020-03-21,1185.9053
"770",2020-03-22,1185.8668
"771",2020-03-23,1174.8049
"772",2020-03-24,1259.9874
"773",2020-03-25,1266.093
"774",2020-03-26,1322.8988
